zipcode,city
55122,ST PAUL
55123,ST PAUL
55124,ST PAUL
55125,ST PAUL
55126,ST PAUL
55127,ST PAUL
55128,ST PAUL
55129,ST PAUL
55130,ST PAUL
55133,ST PAUL
55144,ST PAUL
55145,ST PAUL
55146,ST PAUL
55150,MENDOTA
55155,ST PAUL
55161,ST PAUL
55164,ST PAUL
55165,ST PAUL
55166,ST PAUL
55168,ST PAUL
55169,ST PAUL
55170,ST PAUL
55171,ST PAUL
55172,ST PAUL
55175,ST PAUL
55177,SPOTTS INC
55187,ST PAUL
55188,ST PAUL
55191,NEW BRIGHTON BOXES
55301,ALBERTVILLE
55302,ANNANDALE
55303,ANOKA
55304,ANDOVER
55305,HOPKINS
55306,BURNSVILLE
55307,ARLINGTON
55308,BECKER
55309,BIG LAKE
55310,BIRD ISLAND
55311,OSSEO
55312,BROWNTON
55313,BUFFALO
55314,BUFFALO LAKE
55315,CARVER
55316,CHAMPLIN
55317,CHANHASSEN
55318,CHASKA
55319,CLEAR LAKE
55320,CLEARWATER
55321,COKATO
55322,COLOGNE
55323,CRYSTAL BAY
55324,DARWIN
55325,DASSEL
55327,DAYTON
55328,DELANO
55329,EDEN VALLEY
55330,ELK RIVER
55331,EXCELSIOR
55332,FAIRFAX
55333,FRANKLIN
55334,GAYLORD
55335,GIBBON
55336,GLENCOE
55337,BURNSVILLE
55338,GREEN ISLE
55339,HAMBURG
55340,HAMEL
55341,HANOVER
55342,HECTOR
55343,HOPKINS
55344,EDEN PRAIRIE
55345,MINNETONKA
55346,EDEN PRAIRIE
55347,EDEN PRAIRIE
55348,MAPLE PLAIN
55349,HOWARD LAKE
55350,HUTCHINSON
55352,JORDAN
55353,KIMBALL
55354,LESTER PRAIRIE
55355,LITCHFIELD
55356,LONG LAKE
55357,LORETTO
55358,MAPLE LAKE
55359,MAPLE PLAIN
55360,MAYER
55361,MINNETONKA BEACH
55362,MONTICELLO
55363,MONTROSE
55364,MOUND
55365,MONTICELLO
55366,NEW AUBURN
55367,NEW GERMANY
55368,NORWOOD YOUNG AMERICA
55369,OSSEO
55370,PLATO
55371,PRINCETON
55372,PRIOR LAKE
55373,ROCKFORD
55374,ROGERS
55375,ST BONIFACIUS
55376,ST MICHAEL
55377,SANTIAGO
55378,SAVAGE
55379,SHAKOPEE
55380,SILVER CREEK
55381,SILVER LAKE
55382,SOUTH HAVEN
55383,NORWOOD
55384,SPRING PARK
55385,STEWART
55386,VICTORIA
55387,WACONIA
55388,WATERTOWN
55389,WATKINS
55390,WAVERLY
55391,WAYZATA
55392,NAVARRE
55393,MAPLE PLAIN
55394,YOUNG AMERICA
55395,WINSTED
55396,WINTHROP
55397,YOUNG AMERICA
55398,ZIMMERMAN
55399,YOUNG AMERICA
55401,MINNEAPOLIS
55402,MINNEAPOLIS
55403,MINNEAPOLIS
55404,MINNEAPOLIS
55405,MINNEAPOLIS
55406,MINNEAPOLIS
55407,MINNEAPOLIS
55408,MINNEAPOLIS
55409,MINNEAPOLIS
55410,MINNEAPOLIS
55411,MINNEAPOLIS
55412,MINNEAPOLIS
55413,MINNEAPOLIS
55414,MINNEAPOLIS
55415,MINNEAPOLIS
55416,MINNEAPOLIS
55417,MINNEAPOLIS
55418,MINNEAPOLIS
55419,MINNEAPOLIS
55420,MINNEAPOLIS
55421,MINNEAPOLIS
55422,MINNEAPOLIS
55423,MINNEAPOLIS
55424,MINNEAPOLIS
55425,MINNEAPOLIS
55426,MINNEAPOLIS
55427,MINNEAPOLIS
55428,MINNEAPOLIS
55429,MINNEAPOLIS
55430,MINNEAPOLIS
55431,MINNEAPOLIS
55432,MINNEAPOLIS
55433,MINNEAPOLIS
55434,MINNEAPOLIS
55435,MINNEAPOLIS
55436,MINNEAPOLIS
55437,MINNEAPOLIS
55438,MINNEAPOLIS
55439,MINNEAPOLIS
55440,MINNEAPOLIS
55441,MINNEAPOLIS
55442,MINNEAPOLIS
55443,MINNEAPOLIS
55444,MINNEAPOLIS
55445,MINNEAPOLIS
55446,MINNEAPOLIS
55447,MINNEAPOLIS
55448,MINNEAPOLIS
55449,MINNEAPOLIS
55450,MINNEAPOLIS
55454,MINNEAPOLIS
55455,MINNEAPOLIS
55458,MINNEAPOLIS
55459,MINNEAPOLIS
55460,MINNEAPOLIS
55467,MINNEAPOLIS
55468,DAMARK
55470,MINNEAPOLIS
55472,MINNEAPOLIS
55473,MINNEAPOLIS
55474,MINNEAPOLIS
55478,MINNEAPOLIS
55479,MINNEAPOLIS
55480,MINNEAPOLIS
55483,MINNEAPOLIS
55484,MINNEAPOLIS
55485,MINNEAPOLIS
55486,MINNEAPOLIS
55487,MINNEAPOLIS
55488,MINNEAPOLIS
55550,YOUNG AMERICA
55551,YOUNG AMERICA
55552,YOUNG AMERICA
55553,YOUNG AMERICA
55554,NORWOOD
55555,YOUNG AMERICA
55556,YOUNG AMERICA
55557,YOUNG AMERICA
55558,YOUNG AMERICA
55559,YOUNG AMERICA
55560,YOUNG AMERICA
55561,MONTICELLO
55562,YOUNG AMERICA
55563,MONTICELLO
55564,YOUNG AMERICA
55565,MONTICELLO
55566,YOUNG AMERICA
55567,YOUNG AMERICA
55568,YOUNG AMERICA
55569,OSSEO
55570,MAPLE PLAIN
55571,MAPLE PLAIN
55572,ROCKFORD
55573,YOUNG AMERICA
55574,MAPLE PLAIN
55575,HOWARD LAKE
55576,MAPLE PLAIN
55577,ROCKFORD
55578,MAPLE PLAIN
55579,MAPLE PLAIN
55580,MONTICELLO
55581,MONTICELLO
55582,MONTICELLO
55583,NORWOOD
55584,MONTICELLO
55585,MONTICELLO
55586,MONTICELLO
55587,MONTICELLO
55588,MONTICELLO
55589,MONTICELLO
55590,MONTICELLO
55591,MONTICELLO
55592,MAPLE PLAIN
55593,MAPLE PLAIN
55594,YOUNG AMERICA
55595,LORETTO
55596,LORETTO
55597,LORETTO
55598,LORETTO
55599,LORETTO
55601,BEAVER BAY
55602,BRIMSON
55603,FINLAND
55604,GRAND MARAIS
55605,GRAND PORTAGE
55606,HOVLAND
55607,ISABELLA
55609,KNIFE RIVER
55612,LUTSEN
55613,SCHROEDER
55614,SILVER BAY
55615,TOFTE
55616,TWO HARBORS
55701,ADOLPH
55702,ALBORN
55703,ANGORA
55704,ASKOV
55705,AURORA
55706,BABBITT
55707,BARNUM
55708,BIWABIK
55709,BOVEY
55710,BRITT
55711,BROOKSTON
55712,BRUNO
55713,BUHL
55716,CALUMET
55717,CANYON
55718,CARLTON
55719,CHISHOLM
55720,CLOQUET
55721,COHASSET
55722,COLERAINE
55723,COOK
55724,COTTON
55725,CRANE LAKE
55726,CROMWELL
55730,GRAND RAPIDS
55731,ELY
55732,EMBARRASS
55733,ESKO
55734,EVELETH
55735,FINLAYSON
55736,FLOODWOOD
55738,FORBES
55741,GILBERT
55742,GOODLAND
55744,GRAND RAPIDS
55745,GRAND RAPIDS
55746,HIBBING
55747,HIBBING
55748,HILL CITY
55749,HOLYOKE
55750,HOYT LAKES
55751,IRON
55752,JACOBSON
55753,KEEWATIN
55756,KERRICK
55757,KETTLE RIVER
55758,KINNEY
55760,MCGREGOR
55763,MAKINEN
55764,MARBLE
55765,MEADOWLANDS
55766,MELRUDE
55767,MOOSE LAKE
55768,MOUNTAIN IRON
55769,NASHWAUK
55771,ORR
55772,NETT LAKE
55775,PENGILLY
55777,VIRGINIA
55779,SAGINAW
55780,SAWYER
55781,SIDE LAKE
55782,SOUDAN
55783,STURGEON LAKE
55784,SWAN RIVER
55785,SWATARA
55786,TACONITE
55787,TAMARACK
55790,TOWER
55791,TWIG
55792,VIRGINIA
55793,WARBA
55795,WILLOW RIVER
55796,WINTON
55797,WRENSHALL
55798,WRIGHT
55801,DULUTH
55802,DULUTH
55803,DULUTH
55804,DULUTH
55805,DULUTH
55806,DULUTH
55807,DULUTH
55808,DULUTH
55810,DULUTH
55811,DULUTH
55812,DULUTH
55814,DULUTH
55815,DULUTH
55816,DULUTH
55901,ROCHESTER
55902,ROCHESTER
55903,ROCHESTER
55904,ROCHESTER
55905,ROCHESTER
55906,ROCHESTER
55909,ADAMS
55910,ALTURA
55912,AUSTIN
55917,BLOOMING PRAIRIE
55918,BROWNSDALE
55919,BROWNSVILLE
55920,BYRON
55921,CALEDONIA
55922,CANTON
55923,CHATFIELD
55924,CLAREMONT
55925,DAKOTA
55926,DEXTER
55927,DODGE CENTER
55929,DOVER
55931,EITZEN
55932,ELGIN
55933,ELKTON
55934,EYOTA
55935,FOUNTAIN
55936,GRAND MEADOW
55939,HARMONY
55940,HAYFIELD
55941,HOKAH
55942,HOMER
55943,HOUSTON
55944,KASSON
55945,KELLOGG
55946,KENYON
55947,LA CRESCENT
55949,LANESBORO
55950,LANSING
55951,LE ROY
55952,LEWISTON
55953,LYLE
55954,MABEL
55955,MANTORVILLE
55956,MAZEPPA
55957,MILLVILLE
55959,MINNESOTA CITY
55960,ORONOCO
55961,OSTRANDER
55962,PETERSON
55963,PINE ISLAND
55964,PLAINVIEW
55965,PRESTON
55967,RACINE
55968,READS LANDING
55969,ROLLINGSTONE
55970,ROSE CREEK
55971,RUSHFORD
55972,ST CHARLES
55973,SARGEANT
55974,SPRING GROVE
55975,SPRING VALLEY
55976,STEWARTVILLE
55977,TAOPI
55979,UTICA
55981,WABASHA
55982,WALTHAM
55983,WANAMINGO
55985,WEST CONCORD
55987,WINONA
55988,STOCKTON
55990,WYKOFF
55991,ZUMBRO FALLS
55992,ZUMBROTA
56001,MANKATO
56002,MANKATO
56003,MANKATO
56006,MANKATO
56007,ALBERT LEA
56009,ALDEN
56010,AMBOY
56011,BELLE PLAINE
56013,BLUE EARTH
56014,BRICELYN
56016,CLARKS GROVE
56017,CLEVELAND
56019,COMFREY
56020,CONGER
56021,COURTLAND
56022,DARFUR
56023,DELAVAN
56024,EAGLE LAKE
56025,EASTON
56026,ELLENDALE
56027,ELMORE
56028,ELYSIAN
56029,EMMONS
56030,ESSIG
56031,FAIRMONT
56032,FREEBORN
56033,FROST
56034,GARDEN CITY
56035,GENEVA
56036,GLENVILLE
56037,GOOD THUNDER
56039,GRANADA
56041,HANSKA
56042,HARTLAND
56043,HAYWARD
56044,HENDERSON
56045,HOLLANDALE
56046,HOPE
56047,HUNTLEY
56048,JANESVILLE
56050,KASOTA
56051,KIESTER
56052,KILKENNY
56054,LAFAYETTE
56055,LAKE CRYSTAL
56056,LA SALLE
56057,LE CENTER
56058,LE SUEUR
56060,LEWISVILLE
56062,MADELIA
56063,MADISON LAKE
56065,MAPLETON
56068,MINNESOTA LAKE
56069,MONTGOMERY
56071,NEW PRAGUE
56072,NEW RICHLAND
56073,NEW ULM
56074,NICOLLET
56075,NORTHROP
56078,PEMBERTON
56080,ST CLAIR
56081,ST JAMES
56082,ST PETER
56083,SANBORN
56084,SEARLES
56085,SLEEPY EYE
56087,SPRINGFIELD
56088,TRUMAN
56089,TWIN LAKES
56090,VERNON CENTER
56091,WALDORF
56093,WASECA
56096,WATERVILLE
56097,WELLS
56098,WINNEBAGO
56101,WINDOM
56110,ADRIAN
56111,ALPHA
56113,ARCO
56114,AVOCA
56115,BALATON
56116,BEAVER CREEK
56117,BIGELOW
56118,BINGHAM LAKE
56119,BREWSTER
56120,BUTTERFIELD
56121,CEYLON
56122,CHANDLER
56123,CURRIE
56125,DOVRAY
56127,DUNNELL
56128,EDGERTON
56129,ELLSWORTH
56131,FULDA
56132,GARVIN
56134,HARDWICK
56136,HENDRICKS
56137,HERON LAKE
56138,HILLS
56139,HOLLAND
56140,IHLEN
56141,IONA
56142,IVANHOE
56143,JACKSON
56144,JASPER
56145,JEFFERS
56146,KANARANZI
56147,KENNETH
56149,LAKE BENTON
56150,LAKEFIELD
56151,LAKE WILSON
56152,LAMBERTON
56153,LEOTA
56155,LISMORE
56156,LUVERNE
56157,LYND
56158,MAGNOLIA
56159,MOUNTAIN LAKE
56160,ODIN
56161,OKABENA
56162,ORMSBY
56164,PIPESTONE
56165,READING
56166,REVERE
56167,ROUND LAKE
56168,RUSHMORE
56169,RUSSELL
56170,RUTHTON
56171,SHERBURN
56172,SLAYTON
56173,STEEN
56174,STORDEN
56175,TRACY
56176,TRIMONT
56177,TROSKY
56178,TYLER
56180,WALNUT GROVE
56181,WELCOME
56183,WESTBROOK
56185,WILMONT
56186,WOODSTOCK
56187,WORTHINGTON
56201,WILLMAR
56207,ALBERTA
56208,APPLETON
56209,ATWATER
56210,BARRY
56211,BEARDSLEY
56212,BELLINGHAM
56214,BELVIEW
56215,BENSON
56216,BLOMKEST
56218,BOYD
56219,BROWNS VALLEY
56220,CANBY
56221,CHOKIO
56222,CLARA CITY
56223,CLARKFIELD
56224,CLEMENTS
56225,CLINTON
56226,CLONTARF
56227,CORRELL
56228,COSMOS
56229,COTTONWOOD
56230,DANUBE
56231,DANVERS
56232,DAWSON
56235,DONNELLY
56236,DUMONT
56237,ECHO
56239,GHENT
56240,GRACEVILLE
56241,GRANITE FALLS
56243,GROVE CITY
56244,HANCOCK
56245,HANLEY FALLS
56248,HERMAN
56249,HOLLOWAY
56251,KANDIYOHI
56252,KERKHOVEN
56253,LAKE LILLIAN
56255,LUCAN
56256,MADISON
56257,MARIETTA
56258,MARSHALL
56260,MAYNARD
56262,MILAN
56263,MILROY
56264,MINNEOTA
56265,MONTEVIDEO
56266,MORGAN
56267,MORRIS
56270,MORTON
56271,MURDOCK
56273,NEW LONDON
56274,NORCROSS
56276,ODESSA
56277,OLIVIA
56278,ORTONVILLE
56279,PENNOCK
56280,PORTER
56281,PRINSBURG
56282,RAYMOND
56283,REDWOOD FALLS
56284,RENVILLE
56285,SACRED HEART
56287,SEAFORTH
56288,SPICER
56289,SUNBURG
56291,TAUNTON
56292,VESTA
56293,WABASSO
56294,WANDA
56295,WATSON
56296,WHEATON
56297,WOOD LAKE
56301,ST CLOUD
56302,ST CLOUD
56303,ST CLOUD
56304,ST CLOUD
56307,ALBANY
56308,ALEXANDRIA
56309,ASHBY
56310,AVON
56311,BARRETT
56312,BELGRADE
56313,BOCK
56314,BOWLUS
56315,BRANDON
56316,BROOTEN
56317,BUCKMAN
56318,BURTRUM
56319,CARLOS
56320,COLD SPRING
56321,COLLEGEVILLE
56323,CYRUS
56324,DALTON
56325,ELROSA
56326,EVANSVILLE
56327,FARWELL
56328,FLENSBURG
56329,FOLEY
56330,FORESTON
56331,FREEPORT
56332,GARFIELD
56333,GILMAN
56334,GLENWOOD
56335,GREENWALD
56336,GREY EAGLE
56338,HILLMAN
56339,HOFFMAN
56340,HOLDINGFORD
56341,HOLMES CITY
56342,ISLE
56343,KENSINGTON
56344,LASTRUP
56345,LITTLE FALLS
56347,LONG PRAIRIE
56349,LOWRY
56350,MC GRATH
56352,MELROSE
56353,MILACA
56354,MILTONA
56355,NELSON
56356,NEW MUNICH
56357,OAK PARK
56358,OGILVIE
56359,ONAMIA
56360,OSAKIS
56361,PARKERS PRAIRIE
56362,PAYNESVILLE
56363,PEASE
56364,PIERZ
56367,RICE
56368,RICHMOND
56369,ROCKVILLE
56371,ROSCOE
56372,ST CLOUD
56373,ROYALTON
56374,ST JOSEPH
56375,ST STEPHEN
56376,ST MARTIN
56377,SARTELL
56378,SAUK CENTRE
56379,SAUK RAPIDS
56381,STARBUCK
56382,SWANVILLE
56384,UPSALA
56385,VILLARD
56386,WAHKON
56387,WAITE PARK
56388,WAITE PARK
56389,WEST UNION
56393,ST CLOUD
56395,ST CLOUD
56396,ST CLOUD
56397,ST CLOUD
56398,ST CLOUD
56399,ST CLOUD
56401,BRAINERD
56425,BAXTER
56430,AH GWAH CHING
56431,AITKIN
56433,AKELEY
56434,ALDRICH
56435,BACKUS
56436,BENEDICT
56437,BERTHA
56438,BROWERVILLE
56440,CLARISSA
56441,CROSBY
56442,CROSSLAKE
56443,CUSHING
56444,DEERWOOD
56446,EAGLE BEND
56447,EMILY
56448,FIFTY LAKES
56449,FORT RIPLEY
56450,GARRISON
56452,HACKENSACK
56453,HEWITT
56455,IRONTON
56456,JENKINS
56458,LAKE GEORGE
56459,LAKE HUBERT
56461,LAPORTE
56464,MENAHGA
56465,MERRIFIELD
56466,MOTLEY
56467,NEVIS
56468,NISSWA
56469,PALISADE
56470,PARK RAPIDS
56472,PEQUOT LAKES
56473,PILLAGER
56474,PINE RIVER
56475,RANDALL
56477,SEBEKA
56478,NIMROD
56479,STAPLES
56481,VERNDALE
56482,WADENA
56484,WALKER
56501,DETROIT LAKES
56502,DETROIT LAKES
56510,ADA
56511,AUDUBON
56514,BARNESVILLE
56515,BATTLE LAKE
56516,BEJOU
56517,BELTRAMI
56518,BLUFFTON
56519,BORUP
56520,BRECKENRIDGE
56521,CALLAWAY
56522,CAMPBELL
56523,CLIMAX
56524,CLITHERALL
56525,COMSTOCK
56527,DEER CREEK
56528,DENT
56529,DILWORTH
56531,ELBOW LAKE
56533,ELIZABETH
56534,ERHARD
56535,ERSKINE
56536,FELTON
56537,FERGUS FALLS
56538,FERGUS FALLS
56540,FERTILE
56541,FLOM
56542,FOSSTON
56543,FOXHOME
56544,FRAZEE
56545,GARY
56546,GEORGETOWN
56547,GLYNDON
56548,HALSTAD
56549,HAWLEY
56550,HENDRUM
56551,HENNING
56552,HITTERDAL
56553,KENT
56554,LAKE PARK
56556,MCINTOSH
56557,MAHNOMEN
56560,MOORHEAD
56561,MOORHEAD
56562,MOORHEAD
56563,MOORHEAD
56565,NASHUA
56566,NAYTAHWAUSH
56567,NEW YORK MILLS
56568,NIELSVILLE
56569,OGEMA
56570,OSAGE
56571,OTTERTAIL
56572,PELICAN RAPIDS
56573,PERHAM
56574,PERLEY
56575,PONSFORD
56576,RICHVILLE
56577,RICHWOOD
56578,ROCHERT
56579,ROTHSAY
56580,SABIN
56581,SHELLY
56583,TINTAH
56584,TWIN VALLEY
56585,ULEN
56586,UNDERWOOD
56587,VERGAS
56588,VINING
56589,WAUBUN
56590,WENDELL
56591,WHITE EARTH
56592,WINGER
56593,WOLF LAKE
56594,WOLVERTON
56601,BEMIDJI
56619,BEMIDJI
56621,BAGLEY
56623,BAUDETTE
56626,BENA
56627,BIG FALLS
56628,BIGFORK
56629,BIRCHDALE
56630,BLACKDUCK
56631,BOWSTRING
56633,CASS LAKE
56634,CLEARBROOK
56636,DEER RIVER
56637,TALMOON
56639,EFFIE
56641,FEDERAL DAM
56644,GONVICK
56646,GULLY
56647,HINES
56649,INTERNATIONAL FALLS
56650,KELLIHER
56651,LENGBY
56652,LEONARD
56653,LITTLEFORK
56654,LOMAN
56655,LONGVILLE
56657,MARCELL
56658,MARGIE
56659,MAX
56660,MIZPAH
56661,NORTHOME
56662,OUTING
56663,PENNINGTON
56666,PONEMAH
56667,PUPOSKY
56668,RANIER
56669,KABETOGAMA
56670,REDBY
56671,REDLAKE
56672,REMER
56673,ROOSEVELT
56676,SHEVLIN
56678,SOLWAY
56679,SOUTH INTERNATIONAL FALLS
56680,SPRING LAKE
56681,SQUAW LAKE
56682,SWIFT
56683,TENSTRIKE
56684,TRAIL
56685,WASKISH
56686,WILLIAMS
56687,WILTON
56688,WIRT
56701,THIEF RIVER FALLS
56710,ALVARADO
56711,ANGLE INLET
56713,ARGYLE
56714,BADGER
56715,BROOKS
56716,CROOKSTON
56720,DONALDSON
56721,EAST GRAND FORKS
56722,EUCLID
56723,FISHER
56724,GATZKE
56725,GOODRIDGE
56726,GREENBUSH
56727,GRYGLA
56728,HALLOCK
56729,HALMA
56731,HUMBOLDT
56732,KARLSTAD
56733,KENNEDY
56734,LAKE BRONSON
56735,LANCASTER
56736,MENTOR
56737,MIDDLE RIVER
56738,NEWFOLDEN
56740,NOYES
56741,OAK ISLAND
56742,OKLEE
56744,OSLO
56748,PLUMMER
56750,RED LAKE FALLS
56751,ROSEAU
56754,ST HILAIRE
56755,ST VINCENT
56756,SALOL
56757,STEPHEN
56758,STRANDQUIST
56759,STRATHCONA
56760,VIKING
56761,WANNASKA
56762,WARREN
56763,WARROAD
